alias_name,canonical_name,record_type,conferences,raw_names,source_files,notes
brian spring,,output,2021ABI,Brian Spring,outputs/2021ABI/output_2021_05_20_ABI_S6/bot4_Breakout_Room_4_2021_05_20_12_33_49_chunk1.json | outputs/2021ABI/output_2021_05_20_ABI_S6/bot4_Breakout_Room_4_2021_05_20_12_33_49_chunk2.json | outputs/2021ABI/output_2021_05_20_ABI_S6/bot4_Breakout_Room_4_2021_05_20_12_33_49_chunk3.json | outputs/2021ABI/output_2021_05_20_ABI_S6/bot4_Breakout_Room_4_2021_05_20_12_33_49_chunk4.json | outputs/2021ABI/output_2021_05_20_ABI_S6/bot4_Breakout_Room_4_2021_05_20_12_33_49_chunk5.json | outputs/2021ABI/output_2021_05_20_ABI_S6/bot4_Breakout_Room_4_2021_05_20_12_33_49_chunk6.json | outputs/2021ABI/output_2021_05_20_ABI_S6/bot4_Breakout_Room_4_2021_05_20_12_33_49_chunk7.json | outputs/2021ABI/output_2021_05_20_ABI_S6/bot4_Breakout_Room_4_2021_05_20_12_33_49_chunk8.json | outputs/2021ABI/output_2021_05_21_ABI_S1/Bot_4_Breakout_Session_2_2021_05_21_10_57_08.json | outputs/2021ABI/output_2021_05_21_ABI_S1/Bot_4_Breakout_Session_2_2021_05_21_10_58_43_chunk1.json | outputs/2021ABI/output_2021_05_21_ABI_S1/Bot_4_Breakout_Session_2_2021_05_21_10_58_43_chunk2.json | outputs/2021ABI/output_2021_05_21_ABI_S1/Bot_4_Breakout_Session_2_2021_05_21_10_58_43_chunk3.json | outputs/2021ABI/output_2021_05_21_ABI_S1/Bot_4_Breakout_Session_2_2021_05_21_10_58_43_chunk4.json | outputs/2021ABI/output_2021_05_21_ABI_S1/Bot_4_Breakout_Session_2_2021_05_21_10_58_43_chunk5.json | outputs/2021ABI/output_2021_05_21_ABI_S1/Bot_4_Breakout_Session_2_2021_05_21_10_58_43_chunk6.json | outputs/2021ABI/output_2021_05_21_ABI_S1/Bot_4_Breakout_Session_2_2021_05_21_10_58_43_chunk7.json | outputs/2021ABI/output_2021_05_21_ABI_S1/Bot_4_Breakout_Session_2_2021_05_21_10_58_43_chunk8.json,
candice fleischer,,output,2021ABI,Candice Fleischer,outputs/2021ABI/output_2021_05_20_ABI_S3/bot1_2021_05_20_12_35_38_chunk5.json | outputs/2021ABI/output_2021_05_20_ABI_S3/bot1_2021_05_20_12_35_38_chunk6.json | outputs/2021ABI/output_2021_05_20_ABI_S3/bot1_2021_05_20_12_35_38_chunk7.json | outputs/2021ABI/output_2021_05_20_ABI_S3/bot1_2021_05_20_12_35_38_chunk8.json,
catherine white,,output,2021ABI,Catherine White,outputs/2021ABI/output_2021_05_21_ABI_S9/bot1_2021_05_21_13_08_36_chunk1.json | outputs/2021ABI/output_2021_05_21_ABI_S9/bot1_2021_05_21_13_08_36_chunk2.json | outputs/2021ABI/output_2021_05_21_ABI_S9/bot1_2021_05_21_13_08_36_chunk3.json | outputs/2021ABI/output_2021_05_21_ABI_S9/bot1_2021_05_21_13_08_36_chunk4.json | outputs/2021ABI/output_2021_05_21_ABI_S9/bot1_2021_05_21_13_08_36_chunk5.json | outputs/2021ABI/output_2021_05_21_ABI_S9/bot1_2021_05_21_13_08_36_chunk6.json | outputs/2021ABI/output_2021_05_21_ABI_S9/bot1_2021_05_21_13_08_36_chunk7.json,
doug shepherd,,output,2021ABI,Doug Shepherd,outputs/2021ABI/output_2021_05_20_ABI_S6/bot4_Breakout_Room_4_2021_05_20_12_33_49_chunk1.json | outputs/2021ABI/output_2021_05_20_ABI_S6/bot4_Breakout_Room_4_2021_05_20_12_33_49_chunk2.json | outputs/2021ABI/output_2021_05_20_ABI_S6/bot4_Breakout_Room_4_2021_05_20_12_33_49_chunk3.json | outputs/2021ABI/output_2021_05_20_ABI_S6/bot4_Breakout_Room_4_2021_05_20_12_33_49_chunk4.json | outputs/2021ABI/output_2021_05_20_ABI_S6/bot4_Breakout_Room_4_2021_05_20_12_33_49_chunk5.json | outputs/2021ABI/output_2021_05_20_ABI_S6/bot4_Breakout_Room_4_2021_05_20_12_33_49_chunk6.json | outputs/2021ABI/output_2021_05_20_ABI_S6/bot4_Breakout_Room_4_2021_05_20_12_33_49_chunk7.json | outputs/2021ABI/output_2021_05_20_ABI_S6/bot4_Breakout_Room_4_2021_05_20_12_33_49_chunk8.json | outputs/2021ABI/output_2021_05_21_ABI_S7/botB1_2021_05_21_10_58_58_chunk2.json | outputs/2021ABI/output_2021_05_21_ABI_S7/botB1_2021_05_21_10_58_58_chunk3.json | outputs/2021ABI/output_2021_05_21_ABI_S7/botB1_2021_05_21_10_58_58_chunk4.json | outputs/2021ABI/output_2021_05_21_ABI_S7/botB1_2021_05_21_10_58_58_chunk5.json | outputs/2021ABI/output_2021_05_21_ABI_S7/botB1_2021_05_21_10_58_58_chunk6.json | outputs/2021ABI/output_2021_05_21_ABI_S7/botB1_2021_05_21_10_58_58_chunk7.json | outputs/2021ABI/output_2021_05_21_ABI_S7/botB1_2021_05_21_10_58_58_chunk8.json,
douglas shepherd,,truth,2021ABI,Douglas Shepherd,analysis_v1/data/2021ABI/2021ABI_outcome.json,
gokul upadhyayula,,output,2021ABI,Gokul Upadhyayula,outputs/2021ABI/output_2021_05_20_ABI_S1/Bot_5_Room_5_Zoom_Meeting_5_20_2021_12_34_08_PM.json | outputs/2021ABI/output_2021_05_20_ABI_S1/Bot_5_Zoom_Meeting_5_20_2021_12_37_09_PM.json | outputs/2021ABI/output_2021_05_20_ABI_S1/Bot_5_Zoom_Meeting_5_20_2021_12_37_42_PM_chunk2.json | outputs/2021ABI/output_2021_05_20_ABI_S1/Bot_5_Zoom_Meeting_5_20_2021_12_37_42_PM_chunk3.json | outputs/2021ABI/output_2021_05_20_ABI_S1/Bot_5_Zoom_Meeting_5_20_2021_12_37_42_PM_chunk4.json | outputs/2021ABI/output_2021_05_20_ABI_S1/Bot_5_Zoom_Meeting_5_20_2021_12_37_42_PM_chunk5.json | outputs/2021ABI/output_2021_05_20_ABI_S1/Bot_5_Zoom_Meeting_5_20_2021_12_37_42_PM_chunk6.json | outputs/2021ABI/output_2021_05_20_ABI_S1/Bot_5_Zoom_Meeting_5_20_2021_12_37_42_PM_chunk7.json | outputs/2021ABI/output_2021_05_21_ABI_S10/bot2p1_Zoom_Meeting_Room_2_2021_05_21_13_10_10.json | outputs/2021ABI/output_2021_05_21_ABI_S10/bot2p2_Zoom_Meeting_Room_2_2021_05_21_13_10_25_chunk1.json | outputs/2021ABI/output_2021_05_21_ABI_S10/bot2p2_Zoom_Meeting_Room_2_2021_05_21_13_10_25_chunk2.json | outputs/2021ABI/output_2021_05_21_ABI_S10/bot2p2_Zoom_Meeting_Room_2_2021_05_21_13_10_25_chunk3.json | outputs/2021ABI/output_2021_05_21_ABI_S10/bot2p2_Zoom_Meeting_Room_2_2021_05_21_13_10_25_chunk4.json | outputs/2021ABI/output_2021_05_21_ABI_S10/bot2p2_Zoom_Meeting_Room_2_2021_05_21_13_10_25_chunk5.json | outputs/2021ABI/output_2021_05_21_ABI_S10/bot2p2_Zoom_Meeting_Room_2_2021_05_21_13_10_25_chunk6.json | outputs/2021ABI/output_2021_05_21_ABI_S10/bot2p2_Zoom_Meeting_Room_2_2021_05_21_13_10_25_chunk7.json | outputs/2021ABI/output_2021_05_21_ABI_S3/bot2p1_Zoom_Meeting_2021_05_21_10_57_57.json | outputs/2021ABI/output_2021_05_21_ABI_S3/bot2p2_Zoom_Meeting_2021_05_21_10_58_22.json | outputs/2021ABI/output_2021_05_21_ABI_S3/bot2p3_Zoom_Meeting_Room_2_2021_05_21_10_58_31_chunk2.json | outputs/2021ABI/output_2021_05_21_ABI_S3/bot2p3_Zoom_Meeting_Room_2_2021_05_21_10_58_31_chunk3.json | outputs/2021ABI/output_2021_05_21_ABI_S3/bot2p3_Zoom_Meeting_Room_2_2021_05_21_10_58_31_chunk4.json | outputs/2021ABI/output_2021_05_21_ABI_S3/bot2p3_Zoom_Meeting_Room_2_2021_05_21_10_58_31_chunk5.json | outputs/2021ABI/output_2021_05_21_ABI_S3/bot2p3_Zoom_Meeting_Room_2_2021_05_21_10_58_31_chunk6.json | outputs/2021ABI/output_2021_05_21_ABI_S3/bot2p3_Zoom_Meeting_Room_2_2021_05_21_10_58_31_chunk7.json | outputs/2021ABI/output_2021_05_21_ABI_S3/bot2p3_Zoom_Meeting_Room_2_2021_05_21_10_58_31_chunk8.json,
holly bright,,output,2021ABI,Holly Bright,outputs/2021ABI/output_2021_05_20_ABI_S6/bot4_Breakout_Room_4_2021_05_20_12_33_49_chunk1.json | outputs/2021ABI/output_2021_05_20_ABI_S6/bot4_Breakout_Room_4_2021_05_20_12_33_49_chunk2.json | outputs/2021ABI/output_2021_05_20_ABI_S6/bot4_Breakout_Room_4_2021_05_20_12_33_49_chunk3.json | outputs/2021ABI/output_2021_05_20_ABI_S6/bot4_Breakout_Room_4_2021_05_20_12_33_49_chunk4.json | outputs/2021ABI/output_2021_05_20_ABI_S6/bot4_Breakout_Room_4_2021_05_20_12_33_49_chunk5.json | outputs/2021ABI/output_2021_05_20_ABI_S6/bot4_Breakout_Room_4_2021_05_20_12_33_49_chunk6.json | outputs/2021ABI/output_2021_05_20_ABI_S6/bot4_Breakout_Room_4_2021_05_20_12_33_49_chunk7.json | outputs/2021ABI/output_2021_05_20_ABI_S6/bot4_Breakout_Room_4_2021_05_20_12_33_49_chunk8.json | outputs/2021ABI/output_2021_05_21_ABI_S9/bot1_2021_05_21_13_08_36_chunk1.json | outputs/2021ABI/output_2021_05_21_ABI_S9/bot1_2021_05_21_13_08_36_chunk2.json | outputs/2021ABI/output_2021_05_21_ABI_S9/bot1_2021_05_21_13_08_36_chunk3.json | outputs/2021ABI/output_2021_05_21_ABI_S9/bot1_2021_05_21_13_08_36_chunk4.json | outputs/2021ABI/output_2021_05_21_ABI_S9/bot1_2021_05_21_13_08_36_chunk5.json | outputs/2021ABI/output_2021_05_21_ABI_S9/bot1_2021_05_21_13_08_36_chunk6.json | outputs/2021ABI/output_2021_05_21_ABI_S9/bot1_2021_05_21_13_08_36_chunk7.json,
jazz dickinson,,output,2021ABI,Jazz Dickinson,outputs/2021ABI/output_2021_05_20_ABI_S6/bot4_Breakout_Room_4_2021_05_20_12_33_49_chunk1.json | outputs/2021ABI/output_2021_05_20_ABI_S6/bot4_Breakout_Room_4_2021_05_20_12_33_49_chunk2.json | outputs/2021ABI/output_2021_05_20_ABI_S6/bot4_Breakout_Room_4_2021_05_20_12_33_49_chunk3.json | outputs/2021ABI/output_2021_05_20_ABI_S6/bot4_Breakout_Room_4_2021_05_20_12_33_49_chunk4.json | outputs/2021ABI/output_2021_05_20_ABI_S6/bot4_Breakout_Room_4_2021_05_20_12_33_49_chunk5.json | outputs/2021ABI/output_2021_05_20_ABI_S6/bot4_Breakout_Room_4_2021_05_20_12_33_49_chunk6.json | outputs/2021ABI/output_2021_05_20_ABI_S6/bot4_Breakout_Room_4_2021_05_20_12_33_49_chunk7.json | outputs/2021ABI/output_2021_05_20_ABI_S6/bot4_Breakout_Room_4_2021_05_20_12_33_49_chunk8.json | outputs/2021ABI/output_2021_05_21_ABI_S11/bot3p1_Room_3_Zoom_Meeting_2021_05_21_13_10_02.json | outputs/2021ABI/output_2021_05_21_ABI_S11/bot3p2_Room_3_Zoom_Meeting_2021_05_21_13_10_16_chunk1.json | outputs/2021ABI/output_2021_05_21_ABI_S11/bot3p2_Room_3_Zoom_Meeting_2021_05_21_13_10_16_chunk2.json | outputs/2021ABI/output_2021_05_21_ABI_S11/bot3p2_Room_3_Zoom_Meeting_2021_05_21_13_10_16_chunk3.json | outputs/2021ABI/output_2021_05_21_ABI_S11/bot3p2_Room_3_Zoom_Meeting_2021_05_21_13_10_16_chunk4.json | outputs/2021ABI/output_2021_05_21_ABI_S11/bot3p2_Room_3_Zoom_Meeting_2021_05_21_13_10_16_chunk5.json | outputs/2021ABI/output_2021_05_21_ABI_S11/bot3p2_Room_3_Zoom_Meeting_2021_05_21_13_10_16_chunk6.json | outputs/2021ABI/output_2021_05_21_ABI_S11/bot3p2_Room_3_Zoom_Meeting_2021_05_21_13_10_16_chunk7.json | outputs/2021ABI/output_2021_05_21_ABI_S3/bot2p1_Zoom_Meeting_2021_05_21_10_57_57.json | outputs/2021ABI/output_2021_05_21_ABI_S3/bot2p2_Zoom_Meeting_2021_05_21_10_58_22.json | outputs/2021ABI/output_2021_05_21_ABI_S3/bot2p3_Zoom_Meeting_Room_2_2021_05_21_10_58_31_chunk1.json | outputs/2021ABI/output_2021_05_21_ABI_S3/bot2p3_Zoom_Meeting_Room_2_2021_05_21_10_58_31_chunk2.json | outputs/2021ABI/output_2021_05_21_ABI_S3/bot2p3_Zoom_Meeting_Room_2_2021_05_21_10_58_31_chunk3.json | outputs/2021ABI/output_2021_05_21_ABI_S3/bot2p3_Zoom_Meeting_Room_2_2021_05_21_10_58_31_chunk4.json | outputs/2021ABI/output_2021_05_21_ABI_S3/bot2p3_Zoom_Meeting_Room_2_2021_05_21_10_58_31_chunk5.json | outputs/2021ABI/output_2021_05_21_ABI_S3/bot2p3_Zoom_Meeting_Room_2_2021_05_21_10_58_31_chunk6.json | outputs/2021ABI/output_2021_05_21_ABI_S3/bot2p3_Zoom_Meeting_Room_2_2021_05_21_10_58_31_chunk7.json | outputs/2021ABI/output_2021_05_21_ABI_S3/bot2p3_Zoom_Meeting_Room_2_2021_05_21_10_58_31_chunk8.json,
jazz dickison,,output,2021ABI,Jazz Dickison,outputs/2021ABI/output_2021_05_21_ABI_S15/botB3_2021_05_21_13_09_30_chunk1.json | outputs/2021ABI/output_2021_05_21_ABI_S15/botB3_2021_05_21_13_09_30_chunk2.json | outputs/2021ABI/output_2021_05_21_ABI_S15/botB3_2021_05_21_13_09_30_chunk3.json | outputs/2021ABI/output_2021_05_21_ABI_S15/botB3_2021_05_21_13_09_30_chunk4.json | outputs/2021ABI/output_2021_05_21_ABI_S15/botB3_2021_05_21_13_09_30_chunk5.json | outputs/2021ABI/output_2021_05_21_ABI_S15/botB3_2021_05_21_13_09_30_chunk6.json | outputs/2021ABI/output_2021_05_21_ABI_S15/botB3_2021_05_21_13_09_30_chunk7.json,
josh brake,,output,2021ABI,Josh Brake,outputs/2021ABI/output_2021_05_20_ABI_S7/botB1_2021_05_20_12_34_57_chunk1.json | outputs/2021ABI/output_2021_05_20_ABI_S7/botB1_2021_05_20_12_34_57_chunk2.json | outputs/2021ABI/output_2021_05_20_ABI_S7/botB1_2021_05_20_12_34_57_chunk3.json | outputs/2021ABI/output_2021_05_20_ABI_S7/botB1_2021_05_20_12_34_57_chunk4.json | outputs/2021ABI/output_2021_05_20_ABI_S7/botB1_2021_05_20_12_34_57_chunk5.json | outputs/2021ABI/output_2021_05_20_ABI_S7/botB1_2021_05_20_12_34_57_chunk6.json | outputs/2021ABI/output_2021_05_20_ABI_S7/botB1_2021_05_20_12_34_57_chunk7.json | outputs/2021ABI/output_2021_05_20_ABI_S7/botB1_2021_05_20_12_34_57_chunk8.json | outputs/2021ABI/output_2021_05_21_ABI_S1/Bot_4_Breakout_Session_2_2021_05_21_10_57_08.json | outputs/2021ABI/output_2021_05_21_ABI_S1/Bot_4_Breakout_Session_2_2021_05_21_10_58_43_chunk1.json | outputs/2021ABI/output_2021_05_21_ABI_S1/Bot_4_Breakout_Session_2_2021_05_21_10_58_43_chunk2.json | outputs/2021ABI/output_2021_05_21_ABI_S1/Bot_4_Breakout_Session_2_2021_05_21_10_58_43_chunk3.json | outputs/2021ABI/output_2021_05_21_ABI_S1/Bot_4_Breakout_Session_2_2021_05_21_10_58_43_chunk4.json | outputs/2021ABI/output_2021_05_21_ABI_S1/Bot_4_Breakout_Session_2_2021_05_21_10_58_43_chunk5.json | outputs/2021ABI/output_2021_05_21_ABI_S1/Bot_4_Breakout_Session_2_2021_05_21_10_58_43_chunk6.json | outputs/2021ABI/output_2021_05_21_ABI_S1/Bot_4_Breakout_Session_2_2021_05_21_10_58_43_chunk7.json | outputs/2021ABI/output_2021_05_21_ABI_S1/Bot_4_Breakout_Session_2_2021_05_21_10_58_43_chunk8.json | outputs/2021ABI/output_2021_05_21_ABI_S8/botB3_2021_05_21_10_58_38_chunk8.json,
joshua brake,,truth,2021ABI,Joshua Brake,analysis_v1/data/2021ABI/2021ABI_outcome.json,
katherine white,,output,2021ABI,Katherine White,outputs/2021ABI/output_2021_05_21_ABI_S14/botB1_2021_05_21_13_09_38_chunk2.json | outputs/2021ABI/output_2021_05_21_ABI_S9/bot1_2021_05_21_13_08_36_chunk2.json,
luke mortenser,,output,2021ABI,Luke Mortenser,outputs/2021ABI/output_2021_05_21_ABI_S15/botB3_2021_05_21_13_09_30_chunk1.json | outputs/2021ABI/output_2021_05_21_ABI_S15/botB3_2021_05_21_13_09_30_chunk2.json | outputs/2021ABI/output_2021_05_21_ABI_S15/botB3_2021_05_21_13_09_30_chunk3.json | outputs/2021ABI/output_2021_05_21_ABI_S15/botB3_2021_05_21_13_09_30_chunk4.json | outputs/2021ABI/output_2021_05_21_ABI_S15/botB3_2021_05_21_13_09_30_chunk5.json | outputs/2021ABI/output_2021_05_21_ABI_S15/botB3_2021_05_21_13_09_30_chunk6.json | outputs/2021ABI/output_2021_05_21_ABI_S15/botB3_2021_05_21_13_09_30_chunk7.json,
lulu wei,,output,2021ABI,Lulu Wei,outputs/2021ABI/output_2021_05_21_ABI_S14/botB1_2021_05_21_13_09_38_chunk1.json | outputs/2021ABI/output_2021_05_21_ABI_S14/botB1_2021_05_21_13_09_38_chunk2.json | outputs/2021ABI/output_2021_05_21_ABI_S14/botB1_2021_05_21_13_09_38_chunk3.json | outputs/2021ABI/output_2021_05_21_ABI_S14/botB1_2021_05_21_13_09_38_chunk4.json | outputs/2021ABI/output_2021_05_21_ABI_S14/botB1_2021_05_21_13_09_38_chunk5.json | outputs/2021ABI/output_2021_05_21_ABI_S14/botB1_2021_05_21_13_09_38_chunk6.json | outputs/2021ABI/output_2021_05_21_ABI_S14/botB1_2021_05_21_13_09_38_chunk7.json,
mark seilmeyer,,output,2021ABI,Mark Seilmeyer,outputs/2021ABI/output_2021_05_21_ABI_S8/botB3_2021_05_21_10_58_38_chunk1.json | outputs/2021ABI/output_2021_05_21_ABI_S8/botB3_2021_05_21_10_58_38_chunk2.json | outputs/2021ABI/output_2021_05_21_ABI_S8/botB3_2021_05_21_10_58_38_chunk3.json | outputs/2021ABI/output_2021_05_21_ABI_S8/botB3_2021_05_21_10_58_38_chunk4.json | outputs/2021ABI/output_2021_05_21_ABI_S8/botB3_2021_05_21_10_58_38_chunk5.json | outputs/2021ABI/output_2021_05_21_ABI_S8/botB3_2021_05_21_10_58_38_chunk6.json | outputs/2021ABI/output_2021_05_21_ABI_S8/botB3_2021_05_21_10_58_38_chunk7.json | outputs/2021ABI/output_2021_05_21_ABI_S8/botB3_2021_05_21_10_58_38_chunk8.json,
seu sim,,output,2021ABI,Seu Sim,outputs/2021ABI/output_2021_05_20_ABI_S1/Bot_5_Room_5_Zoom_Meeting_5_20_2021_12_34_08_PM.json | outputs/2021ABI/output_2021_05_20_ABI_S1/Bot_5_Zoom_Meeting_5_20_2021_12_37_09_PM.json | outputs/2021ABI/output_2021_05_20_ABI_S1/Bot_5_Zoom_Meeting_5_20_2021_12_37_42_PM_chunk2.json | outputs/2021ABI/output_2021_05_20_ABI_S1/Bot_5_Zoom_Meeting_5_20_2021_12_37_42_PM_chunk3.json | outputs/2021ABI/output_2021_05_20_ABI_S1/Bot_5_Zoom_Meeting_5_20_2021_12_37_42_PM_chunk4.json | outputs/2021ABI/output_2021_05_20_ABI_S1/Bot_5_Zoom_Meeting_5_20_2021_12_37_42_PM_chunk5.json | outputs/2021ABI/output_2021_05_20_ABI_S1/Bot_5_Zoom_Meeting_5_20_2021_12_37_42_PM_chunk6.json | outputs/2021ABI/output_2021_05_20_ABI_S1/Bot_5_Zoom_Meeting_5_20_2021_12_37_42_PM_chunk7.json | outputs/2021ABI/output_2021_05_21_ABI_S14/botB1_2021_05_21_13_09_38_chunk1.json | outputs/2021ABI/output_2021_05_21_ABI_S14/botB1_2021_05_21_13_09_38_chunk2.json | outputs/2021ABI/output_2021_05_21_ABI_S14/botB1_2021_05_21_13_09_38_chunk3.json | outputs/2021ABI/output_2021_05_21_ABI_S14/botB1_2021_05_21_13_09_38_chunk4.json | outputs/2021ABI/output_2021_05_21_ABI_S14/botB1_2021_05_21_13_09_38_chunk5.json | outputs/2021ABI/output_2021_05_21_ABI_S14/botB1_2021_05_21_13_09_38_chunk6.json | outputs/2021ABI/output_2021_05_21_ABI_S14/botB1_2021_05_21_13_09_38_chunk7.json,
seunghyun sim,,truth,2021ABI,Seunghyun Sim,analysis_v1/data/2021ABI/2021ABI_outcome.json,
shannon quine,,output,2021ABI,Shannon Quine,outputs/2021ABI/output_2021_05_21_ABI_S1/Bot_4_Breakout_Session_2_2021_05_21_10_57_08.json | outputs/2021ABI/output_2021_05_21_ABI_S1/Bot_4_Breakout_Session_2_2021_05_21_10_58_43_chunk1.json | outputs/2021ABI/output_2021_05_21_ABI_S1/Bot_4_Breakout_Session_2_2021_05_21_10_58_43_chunk2.json | outputs/2021ABI/output_2021_05_21_ABI_S1/Bot_4_Breakout_Session_2_2021_05_21_10_58_43_chunk3.json | outputs/2021ABI/output_2021_05_21_ABI_S1/Bot_4_Breakout_Session_2_2021_05_21_10_58_43_chunk4.json | outputs/2021ABI/output_2021_05_21_ABI_S1/Bot_4_Breakout_Session_2_2021_05_21_10_58_43_chunk5.json | outputs/2021ABI/output_2021_05_21_ABI_S1/Bot_4_Breakout_Session_2_2021_05_21_10_58_43_chunk6.json | outputs/2021ABI/output_2021_05_21_ABI_S1/Bot_4_Breakout_Session_2_2021_05_21_10_58_43_chunk7.json | outputs/2021ABI/output_2021_05_21_ABI_S1/Bot_4_Breakout_Session_2_2021_05_21_10_58_43_chunk8.json,
shiva abbaszadeh,,output,2021ABI,Shiva Abbaszadeh,outputs/2021ABI/output_2021_05_20_ABI_S4/bot2p1_Zoom_Meeting_2021_05_20_12_35_31.json | outputs/2021ABI/output_2021_05_20_ABI_S4/bot2p2_Zoom_Meeting_2021_05_20_12_37_07_chunk1.json | outputs/2021ABI/output_2021_05_20_ABI_S4/bot2p2_Zoom_Meeting_2021_05_20_12_37_07_chunk2.json | outputs/2021ABI/output_2021_05_20_ABI_S4/bot2p2_Zoom_Meeting_2021_05_20_12_37_07_chunk3.json | outputs/2021ABI/output_2021_05_20_ABI_S4/bot2p2_Zoom_Meeting_2021_05_20_12_37_07_chunk4.json | outputs/2021ABI/output_2021_05_20_ABI_S4/bot2p2_Zoom_Meeting_2021_05_20_12_37_07_chunk5.json | outputs/2021ABI/output_2021_05_20_ABI_S4/bot2p2_Zoom_Meeting_2021_05_20_12_37_07_chunk6.json | outputs/2021ABI/output_2021_05_20_ABI_S4/bot2p2_Zoom_Meeting_2021_05_20_12_37_07_chunk7.json | outputs/2021ABI/output_2021_05_21_ABI_S12/bot5p1_Zoom_Meeting_5_21_2021_1_08_57_PM.json | outputs/2021ABI/output_2021_05_21_ABI_S12/bot5p2_Room_5_Zoom_Meeting_5_21_2021_1_11_16_PM.json | outputs/2021ABI/output_2021_05_21_ABI_S12/bot5p3_Room_5_Zoom_Meeting_5_21_2021_1_11_42_PM.json | outputs/2021ABI/output_2021_05_21_ABI_S12/bot5p4_Zoom_Meeting_5_21_2021_1_12_46_PM_chunk1.json | outputs/2021ABI/output_2021_05_21_ABI_S12/bot5p4_Zoom_Meeting_5_21_2021_1_12_46_PM_chunk2.json | outputs/2021ABI/output_2021_05_21_ABI_S12/bot5p4_Zoom_Meeting_5_21_2021_1_12_46_PM_chunk3.json | outputs/2021ABI/output_2021_05_21_ABI_S12/bot5p4_Zoom_Meeting_5_21_2021_1_12_46_PM_chunk4.json | outputs/2021ABI/output_2021_05_21_ABI_S12/bot5p4_Zoom_Meeting_5_21_2021_1_12_46_PM_chunk5.json | outputs/2021ABI/output_2021_05_21_ABI_S12/bot5p4_Zoom_Meeting_5_21_2021_1_12_46_PM_chunk6.json | outputs/2021ABI/output_2021_05_21_ABI_S12/bot5p4_Zoom_Meeting_5_21_2021_1_12_46_PM_chunk7.json | outputs/2021ABI/output_2021_05_21_ABI_S5/bot5p1_Zoom_Meeting_5_21_2021_10_58_04_AM.json | outputs/2021ABI/output_2021_05_21_ABI_S5/bot5p2_Zoom_Meeting_5_21_2021_10_58_51_AM.json | outputs/2021ABI/output_2021_05_21_ABI_S5/bot5p3_Room_5_Zoom_Meeting_5_21_2021_10_59_19_AM_chunk1.json | outputs/2021ABI/output_2021_05_21_ABI_S5/bot5p3_Room_5_Zoom_Meeting_5_21_2021_10_59_19_AM_chunk2.json | outputs/2021ABI/output_2021_05_21_ABI_S5/bot5p3_Room_5_Zoom_Meeting_5_21_2021_10_59_19_AM_chunk3.json | outputs/2021ABI/output_2021_05_21_ABI_S5/bot5p3_Room_5_Zoom_Meeting_5_21_2021_10_59_19_AM_chunk4.json | outputs/2021ABI/output_2021_05_21_ABI_S5/bot5p3_Room_5_Zoom_Meeting_5_21_2021_10_59_19_AM_chunk5.json | outputs/2021ABI/output_2021_05_21_ABI_S5/bot5p3_Room_5_Zoom_Meeting_5_21_2021_10_59_19_AM_chunk6.json | outputs/2021ABI/output_2021_05_21_ABI_S5/bot5p3_Room_5_Zoom_Meeting_5_21_2021_10_59_19_AM_chunk7.json | outputs/2021ABI/output_2021_05_21_ABI_S5/bot5p3_Room_5_Zoom_Meeting_5_21_2021_10_59_19_AM_chunk8.json,
shiva abbbaszadeh,,truth,2021ABI,Shiva Abbbaszadeh,analysis_v1/data/2021ABI/2021ABI_outcome.json,
sihan you,,output,2021ABI,Sihan You,outputs/2021ABI/output_2021_05_20_ABI_S7/botB1_2021_05_20_12_34_57_chunk1.json | outputs/2021ABI/output_2021_05_20_ABI_S7/botB1_2021_05_20_12_34_57_chunk2.json | outputs/2021ABI/output_2021_05_20_ABI_S7/botB1_2021_05_20_12_34_57_chunk3.json | outputs/2021ABI/output_2021_05_20_ABI_S7/botB1_2021_05_20_12_34_57_chunk4.json | outputs/2021ABI/output_2021_05_20_ABI_S7/botB1_2021_05_20_12_34_57_chunk5.json | outputs/2021ABI/output_2021_05_20_ABI_S7/botB1_2021_05_20_12_34_57_chunk6.json | outputs/2021ABI/output_2021_05_20_ABI_S7/botB1_2021_05_20_12_34_57_chunk7.json | outputs/2021ABI/output_2021_05_20_ABI_S7/botB1_2021_05_20_12_34_57_chunk8.json,
sijian you,,output,2021ABI,Sijian You,outputs/2021ABI/output_2021_05_20_ABI_S3/bot1_2021_05_20_12_35_38_chunk1.json | outputs/2021ABI/output_2021_05_20_ABI_S3/bot1_2021_05_20_12_35_38_chunk2.json | outputs/2021ABI/output_2021_05_20_ABI_S3/bot1_2021_05_20_12_35_38_chunk3.json | outputs/2021ABI/output_2021_05_20_ABI_S3/bot1_2021_05_20_12_35_38_chunk4.json | outputs/2021ABI/output_2021_05_20_ABI_S3/bot1_2021_05_20_12_35_38_chunk5.json | outputs/2021ABI/output_2021_05_20_ABI_S3/bot1_2021_05_20_12_35_38_chunk6.json | outputs/2021ABI/output_2021_05_20_ABI_S3/bot1_2021_05_20_12_35_38_chunk7.json | outputs/2021ABI/output_2021_05_20_ABI_S3/bot1_2021_05_20_12_35_38_chunk8.json,
srigokul upadhyayula,,truth,2021ABI,Srigokul Upadhyayula,analysis_v1/data/2021ABI/2021ABI_outcome.json,
ulugbek kamilov,,truth,2021ABI,Ulugbek Kamilov,analysis_v1/data/2021ABI/2021ABI_outcome.json,
