conf,session,speaker,move_name,names_anyone,names_other,named_person,rule_fired,explanation
2020NES,2020_11_06_NES_S2,Adam Holewinski,extends_existing_idea,True,True,Emily Ryan,named_speaker,Adam suggests using a Bayesian framework for design of experiments to address the uncertainty and data issues raised by Emily and Luisa.
2020NES,2020_11_06_NES_S2,Adam Holewinski,extends_existing_idea,True,False,,nearest_prior,Adam builds on the ML discussion by emphasizing the need to extract physical intuition from ML models.
2020NES,2020_11_06_NES_S2,Andrea Hicks,extends_existing_idea,False,False,,on_table_idea,She elaborates on her idea of using LCA prospectively to screen out non-viable options and focus resources.
2020NES,2020_11_06_NES_S2,Kristen Schell,critiques_or_challenges,True,True,Adam Holewinski,named_speaker,"Kristen challenges Adam's co-location idea by pointing out that DAC needs to be sited based on CO2 concentration, which may not align with waste heat sources."
2020NES,2020_11_06_NES_S2,Kristen Schell,raises_concern,False,False,,nearest_prior,She raises a concern about the validity of calling a process net-negative if it produces a combustible fuel.
2020NES,2020_11_06_NES_S2,George Shields,extends_existing_idea,True,True,Kristen Schell,named_speaker,George builds on Kristen's point about energy requirements by referencing a previous session's discussion on using waste heat.
2020NES,2020_11_06_NES_S2,Katie Knowles,synthesizes_contributions,True,False,,nearest_prior,"Katie provides a comprehensive summary of the group's entire discussion, categorizing the ideas they generated."
2020NES,2020_11_06_NES_S2,Katie Knowles,connects_methods,False,False,,on_table_idea,She highlights the group's idea of combining modeling and experimental approaches to address complex systems.
2020NES,2020_11_06_NES_S2,George Shields,returns_to_earlier_idea,True,True,Robert Gilliard,named_speaker,George explicitly returns to Robert's earlier suggestion about organizing tutorial sessions.
2020NES,2020_11_06_NES_S2,Adam Holewinski,extends_existing_idea,True,False,,on_table_idea,Adam builds on the tutorial idea by suggesting specific formats like panel discussions and open Q&A with established researchers.
2020NES,2020_11_06_NES_S2,George Shields,extends_existing_idea,False,False,,nearest_prior,He reinforces the idea that meetings should prioritize conversation over traditional presentations.
2020NES,2020_11_06_NES_S2,Matt Green,critiques_or_challenges,False,False,,on_table_idea,He points out the structural barriers to having deep discussions at typical conferences.
2020NES,2020_11_06_NES_S2,Katie Knowles,extends_existing_idea,True,True,Matt Green,named_speaker,Katie builds on Matt's point by suggesting smaller meetings are better for this.
2020NES,2020_11_06_NES_S2,Emily Ryan,critiques_or_challenges,True,False,,nearest_prior,Emily challenges the one-directional nature of the proposed tutorials.
2020NES,2020_11_06_NES_S2,Emily Ryan,returns_to_earlier_idea,True,True,Luisa Whittaker-Brooks,named_speaker,Emily redirects the conversation back to Luisa's earlier prompt to identify specific challenges.
2020NES,2020_11_06_NES_S2,Sen Zhang,returns_to_earlier_idea,True,False,,nearest_prior,Sen brings back an idea from a previous session.
2020NES,2020_11_06_NES_S2,Emily Ryan,raises_concern,True,False,,on_table_idea,Emily points out the practical difficulty of theorists providing robust software tools.
2020NES,2020_11_06_NES_S2,Katie Knowles,extends_existing_idea,True,True,Sen Zhang,named_speaker,"Katie builds on Sen's idea about predicting spectra, applying it to catalytic centers."
2020NES,2020_11_06_NES_S2,Katie Knowles,synthesizes_contributions,False,False,,nearest_prior,She synthesizes the theoretical prediction with experimental operando measurements.
2020NES,2020_11_06_NES_S2,Adam Holewinski,critiques_or_challenges,True,True,George Shields,named_speaker,Adam points out that answering George's question requires getting too specific for this broad discussion.
2020NES,2020_11_06_NES_S2,Adam Holewinski,extends_existing_idea,True,True,Kristen Schell,named_speaker,Adam builds on Kristen's point about dynamic operation by connecting it to the challenge of modeling long-term stability.
2020NES,2020_11_06_NES_S2,Katie Knowles,extends_existing_idea,True,True,Emily Ryan,named_speaker,Katie connects the idea of long-term stability to Emily's earlier point about the need for pilot plant data to validate models.
2020NES,2020_11_06_NES_S2,George Shields,extends_existing_idea,True,False,,on_table_idea,George builds on the earlier idea of tutorial sessions by describing how they should be structured.
2020NES,2020_11_06_NES_S2,Katie Knowles,synthesizes_contributions,True,False,,on_table_idea,Katie synthesizes the group's discussion about tutorial meetings and connects it to the goal of finding synergy.
2020NES,2020_11_06_NES_S2,George Shields,combines_ideas,True,False,,nearest_prior,George describes the process of combining disparate ideas to create something new.
2020NES,2020_11_06_NES_S2,Katie Knowles,extends_existing_idea,True,True,George Shields,named_speaker,Katie builds on George's point by giving a specific example of how learning about another field's capabilities sparks ideas.
2020NES,2020_11_06_NES_S3,Mona Razzaghi,raises_concern,False,False,,unresolved,Identifies a key technical barrier to the proposed solutions.
2020NES,2020_11_06_NES_S3,Jeffrey Long,synthesizes_contributions,True,True,Mona Razzaghi,named_speaker,Connects Mona's point about low concentration to the limitations of traditional membrane separations.
2020NES,2020_11_06_NES_S3,Shu Hu,extends_existing_idea,False,False,,nearest_prior,Builds on the discussion of capture mechanisms by suggesting a biomimetic chemical looping approach.
2020NES,2020_11_06_NES_S3,Jeffrey Long,synthesizes_contributions,False,False,,on_table_idea,Summarizes a key theme that emerged across multiple participants' ideas.
2020NES,2020_11_06_NES_S3,Simona Liguori,raises_concern,False,False,,nearest_prior,Raises a critical life-cycle assessment constraint for any proposed technology.
2020NES,2020_11_06_NES_S3,Simona Liguori,combines_ideas,False,False,,on_table_idea,Recalls and builds upon a creative idea previously mentioned by another participant.
2020NES,2020_11_06_NES_S3,Julia Brown,synthesizes_contributions,False,False,,nearest_prior,Attempts to synthesize the common thread among the various proposed ideas.
2020NES,2020_11_06_NES_S3,Chong Liu,critiques_or_challenges,False,False,,on_table_idea,He points out a limitation in the biological conversion process.
2020NES,2020_11_06_NES_S3,Rafael Santos,redirects_idea,True,False,,on_table_idea,"Rafael broadens the scope to include conversion, not just capture."
2020NES,2020_11_06_NES_S3,Julia Brown,returns_to_earlier_idea,True,False,,on_table_idea,Julia brings the conversation back to the biological/sugar idea discussed earlier.
2020NES,2020_11_06_NES_S3,Chong Liu,critiques_or_challenges,True,False,,on_table_idea,Chong points out a flaw in the sugar-adding approach regarding net carbon.
2020NES,2020_11_06_NES_S3,Nanette Boyle,extends_existing_idea,False,False,,on_table_idea,She builds on the biological idea by introducing photosynthesis to solve the carbon balance issue.
2020NES,2020_11_06_NES_S3,Chong Liu,synthesizes_contributions,True,True,Nanette Boyle,named_speaker,Chong combines his point about methane activation with Nanette's point about photosystems.
2020NES,2020_11_06_NES_S3,Julia Brown,synthesizes_contributions,True,False,,on_table_idea,Julia summarizes the various hybrid approaches discussed by different members.
2020NES,2020_11_06_NES_S3,Jeffrey Long,returns_to_earlier_idea,True,False,,on_table_idea,Jeffrey brings back an idea discussed earlier in the session.
2020NES,2020_11_06_NES_S3,Simona Liguori,critiques_or_challenges,False,False,,nearest_prior,She points out a major drawback of the liquefaction approach.
2020NES,2020_11_06_NES_S3,Simona Liguori,raises_concern,False,False,,nearest_prior,She raises a fundamental concern about the energy balance of these intensive processes.
2020NES,2020_11_06_NES_S3,Simona Liguori,raises_concern,False,False,,nearest_prior,She reiterates the core challenge of maintaining a negative carbon balance.
2020NES,2020_11_06_NES_S3,Jeffrey Long,synthesizes_contributions,False,False,,on_table_idea,Acknowledges the addition of a new disciplinary concept to the group's brainstorming.
2020NES,2020_11_06_NES_S3,Phil Milner,extends_existing_idea,True,False,,on_table_idea,Phil extends his previous idea about immobilizing organic radicals to prevent dimerization.
2020NES,2020_11_06_NES_S3,Rafael Santos,synthesizes_contributions,True,True,Phil Milner,named_speaker,Rafael connects Phil's radical idea with the use of porous materials.
2020NES,2020_11_06_NES_S3,Phil Milner,extends_existing_idea,True,True,Rafael Santos,named_speaker,"Phil builds on Rafael's suggestion, detailing how the radicals would be attached to the walls."
2020NES,2020_11_06_NES_S3,Phil Milner,connects_methods,True,False,,on_table_idea,Phil bridges his organic radical approach with the biological mechanism of MMO.
2020NES,2020_11_06_NES_S3,Phil Milner,extends_existing_idea,True,False,,on_table_idea,Phil proposes using variations of TEMPO as the organic radical.
2020NES,2020_11_06_NES_S3,Phil Milner,raises_concern,True,False,,on_table_idea,Phil notes a potential limitation regarding the reactivity of the organic radicals.
2020NES,2020_11_06_NES_S3,Phil Milner,raises_concern,True,False,,nearest_prior,Phil acknowledges this lack of rebound as a problem.
2020NES,2020_11_06_NES_S3,Julia Brown,critiques_or_challenges,True,False,,nearest_prior,Julia jokingly critiques the idea of producing gasoline.
2020NES,2020_11_06_NES_S3,Julia Brown,critiques_or_challenges,True,False,,nearest_prior,Julia reiterates her critique that making gasoline just delays carbon emissions.
2020NES,2020_11_06_NES_S3,Jeffrey Long,synthesizes_contributions,True,False,,on_table_idea,Jeffrey synthesizes the main themes discussed during the session for the slide.
2020NES,2020_11_06_NES_S3,Julia Brown,synthesizes_contributions,True,False,,nearest_prior,"Julia provides a concise, synthesized summary of the approaches."
2020NES,2020_11_06_NES_S3,Chong Liu,returns_to_earlier_idea,True,False,,nearest_prior,Chong reiterates the idea of using photosynthetic microorganisms.
2020NES,2020_11_06_NES_S3,Jeffrey Long,synthesizes_contributions,True,True,Chong Liu,named_speaker,Jeffrey distills Chong's point into a concise phrase for the slide.
2020NES,2020_11_06_NES_S3,Nanette Boyle,returns_to_earlier_idea,True,False,,on_table_idea,Nanette clarifies her specific idea of using a synthetic consortium rather than a single engineered organism.
2020NES,2020_11_06_NES_S3,Chong Liu,synthesizes_contributions,True,True,Nanette Boyle,named_speaker,Chong repeats and affirms Nanette's clarification.
2020NES,2020_11_06_NES_S3,Jeffrey Long,synthesizes_contributions,True,False,,on_table_idea,Jeffrey distills the consortium idea into a bullet point for the slide.
2020NES,2020_11_06_NES_S3,Chong Liu,synthesizes_contributions,False,False,,on_table_idea,Provides the exact phrase for the slide.
2020NES,2020_11_06_NES_S3,Shu Hu,synthesizes_contributions,True,False,,on_table_idea,Shu synthesizes the overarching theme of the ideas as a 'hybrid approach'.
2020NES,2020_11_06_NES_S3,Chong Liu,synthesizes_contributions,True,False,,on_table_idea,Chong provides a high-level summary of the biological/hybrid approaches.
2020NES,2020_11_06_NES_S3,Fatima Hassan,returns_to_earlier_idea,True,False,,on_table_idea,Fatima ensures that the hybrid sorbent/photocatalysis idea is included on the slide.
2020NES,2020_11_06_NES_S3,Jeffrey Long,extends_existing_idea,True,False,,on_table_idea,Jeffrey encourages applying the CO2 approach to methane.
2020NES,2020_11_06_NES_S3,Jeffrey Long,raises_concern,True,False,,nearest_prior,Jeffrey highlights the difficulty of the proposed approach.
2020NES,2020_11_06_NES_S3,Jeffrey Long,synthesizes_contributions,True,False,,nearest_prior,Jeffrey synthesizes the numbers discussed to confirm the general magnitude.
2020NES,2020_11_06_NES_S4,Oana Luca,extends_existing_idea,False,False,,on_table_idea,"Luca builds directly on Yang's point about feedstock concentration, adding the dimension of capture thermodynamics."
2020NES,2020_11_06_NES_S4,Carlos Morales Guio,extends_existing_idea,False,False,,nearest_prior,"Morales Guio builds on Luca's point about reactor engineering, adding specific design parameters like electrode distance and membrane cross-section."
2020NES,2020_11_06_NES_S4,Roger Aines,returns_to_earlier_idea,True,False,,nearest_prior,"Roger brings the conversation back to the issue of heat management at scale, which was raised earlier."
2020NES,2020_11_06_NES_S4,Roger Aines,raises_concern,False,False,,nearest_prior,He highlights heat management as a significant barrier to scaling up.
2020NES,2020_11_06_NES_S4,Jenny Yang,critiques_or_challenges,True,False,,nearest_prior,"Jenny challenges the assumption that pure products are necessary, pointing out that commercial fuels are often mixtures."
2020NES,2020_11_06_NES_S4,Feng Jiao,raises_concern,False,False,,on_table_idea,He raises a significant technical barrier regarding membrane stability in the presence of alcohols.
2020NES,2020_11_06_NES_S4,Gary Moore,returns_to_earlier_idea,True,True,Carlos Morales Guio,named_speaker,Gary explicitly brings the conversation back to the trade-off discussed earlier by Carlos.
2020NES,2020_11_06_NES_S4,Yuanyue Liu,extends_existing_idea,True,True,Jenny Yang,named_speaker,"He builds on Jenny's prompt by detailing exactly why computational models are needed (complex interfaces, solvation)."
2020NES,2020_11_06_NES_S4,Yuanyue Liu,critiques_or_challenges,False,False,,on_table_idea,He critiques the common practice of using thermodynamics to estimate kinetics due to computational difficulty.
2020NES,2020_11_06_NES_S4,Rebecca Gieseking,extends_existing_idea,True,True,Yuanyue Liu,named_speaker,She builds on Yuanyue's point about modeling complexity by adding the challenge of unknown active sites in heterogeneous catalysts.
2020NES,2020_11_06_NES_S4,Rebecca Gieseking,critiques_or_challenges,False,False,,on_table_idea,She challenges the fundamental premise that producing fuels from captured CO2 aligns with the goal of negative emissions.
2020NES,2020_11_06_NES_S4,Gary Moore,resolves_contradiction,False,False,,on_table_idea,"He explains the paradox: while fuels aren't strictly negative emissions, they are the only product with enough market volume to meaningfully impact CO2 levels."
2020NES,2020_11_06_NES_S4,Roger Aines,extends_existing_idea,True,True,Jenny Yang,named_speaker,Roger builds on Jenny's idea of non-fuel products by suggesting building materials and long-lived uses.
2020NES,2020_11_06_NES_S4,Marcel Schreier,redirects_idea,True,False,,on_table_idea,"Marcel redirects the conversation back to fuels and energy vectors, contrasting with the non-fuel products discussed earlier."
2020NES,2020_11_06_NES_S4,Feng Jiao,extends_existing_idea,False,False,,on_table_idea,He extends the idea by highlighting the specific benefit of liquid fuels for energy storage.
2020NES,2020_11_06_NES_S4,Roger Aines,synthesizes_contributions,True,True,Feng Jiao,named_speaker,Roger concisely summarizes the consensus point reached by Marcel and Feng.
2020NES,2020_11_06_NES_S4,Jenny Yang,extends_existing_idea,True,False,,on_table_idea,Jenny builds on the fuel discussion by pivoting to the implications for chemical feedstocks.
2020NES,2020_11_06_NES_S4,Roger Aines,critiques_or_challenges,True,True,Jenny Yang,named_speaker,"Roger challenges Jenny's premise of replacing existing feedstocks, arguing that entirely new ones will be used instead."
2020NES,2020_11_06_NES_S4,Roger Aines,extends_existing_idea,True,True,Will Bowman,on_table_idea,Proposes a specific vision for how thermal and electrochemical processes will integrate.
2020NES,2020_11_06_NES_S4,Oana Luca,extends_existing_idea,False,False,,on_table_idea,Builds on the discussion of thermal effects by proposing a specific method (resistive heating) to control temperature in electrochemical cells.
2020NES,2020_11_06_NES_S4,Roger Aines,critiques_or_challenges,True,True,Oana Luca,named_speaker,Roger directly challenges Oana's premise that heat needs to be intentionally added.
2020NES,2020_11_06_NES_S4,Marcel Schreier,extends_existing_idea,False,False,,on_table_idea,He builds on the previous discussion about temperature by emphasizing the necessity of higher temperatures for practical devices.
2020NES,2020_11_06_NES_S4,Carlos Morales Guio,connects_methods,True,False,,nearest_prior,Carlos explicitly compares the methodological capabilities of heterogeneous thermal catalysis with those of electrocatalysis.
2020NES,2020_11_06_NES_S4,Marcel Schreier,critiques_or_challenges,True,False,,nearest_prior,Marcel challenges the utility and definition of the concept of overpotential in their field.
2020NES,2020_11_06_NES_S4,Oana Luca,resolves_contradiction,True,True,Marcel Schreier,named_speaker,Oana defends the concept of overpotential against Marcel's critique by clarifying its definition.
2020NES,2020_11_06_NES_S4,Jenny Yang,synthesizes_contributions,False,False,,nearest_prior,She attempts to synthesize the complex discussion into written notes for the group.
2020NES,2020_11_06_NES_S4,Gary Moore,returns_to_earlier_idea,True,False,,nearest_prior,Gary returns to the technical discussion about overpotential.
2020NES,2020_11_06_NES_S4,Gary Moore,raises_concern,True,False,,on_table_idea,Gary points out a fundamental limitation in studying active catalysts.
2020NES,2020_11_06_NES_S4,Will Bowman,raises_concern,False,False,,nearest_prior,He notes the limitations of the technique regarding imaging speed compared to catalytic rates.
2020NES,2020_11_06_NES_S4,Roger Aines,combines_ideas,True,False,,on_table_idea,Roger suggests combining the TEM measurements with atomic modeling.
2020NES,2020_11_06_NES_S4,Will Bowman,raises_concern,False,False,,nearest_prior,He highlights the limitations and non-routine nature of the technique.
2020NES,2020_11_06_NES_S4,Rebecca Gieseking,synthesizes_contributions,True,True,Gary Moore,named_speaker,Connects her point back to an earlier contribution made by Gary.
2020NES,2020_11_06_NES_S4,Gary Moore,extends_existing_idea,False,False,,on_table_idea,Clarifies and extends his earlier point about physical measurements.
2020NES,2020_11_06_NES_S4,Rebecca Gieseking,extends_existing_idea,False,False,,on_table_idea,Builds on the idea of using mediocre catalysts as a stepping stone for better ones.
2020NES,2020_11_06_NES_S4,Feng Lin,raises_concern,False,False,,on_table_idea,Raises a methodological concern about operando measurements altering the reaction.
2020NES,2020_11_06_NES_S4,Carlos Morales Guio,raises_concern,False,False,,nearest_prior,Highlights a significant challenge in correlating different types of measurements.
2020NES,2020_11_06_NES_S4,Gary Moore,extends_existing_idea,False,False,,on_table_idea,Adds X-ray techniques to the ongoing discussion of operando measurements.
2020NES,2020_11_06_NES_S6,Sarbajit Banerjee,synthesizes_contributions,True,True,Venkat Viswanathan,named_speaker,Sarbajit summarizes and validates Venkat's proposed framework.
2020NES,2020_11_06_NES_S6,Wilson Smith,redirects_idea,False,False,,on_table_idea,Redirects the focus from complex product selectivity to the fundamental competition with hydrogen evolution.
2020NES,2020_11_06_NES_S6,Jimmy Jiang,extends_existing_idea,True,True,Venkat Viswanathan,named_speaker,Builds on Venkat's economic point by adding the cost of the chemical system components.
2020NES,2020_11_06_NES_S6,Ellen Matson,redirects_idea,False,False,,on_table_idea,Redirects the discussion to the specific idea of engineering proteins for electrocatalysis.
2020NES,2020_11_06_NES_S6,Charles McCrory,combines_ideas,False,False,,nearest_prior,Combines the idea of biological microenvironments with cheaper synthetic polymers to address the cost and selectivity issues.
2020NES,2020_11_06_NES_S6,Venkat Viswanathan,extends_existing_idea,True,True,Ashleigh Baber,named_speaker,Builds on Ashleigh's single-atom idea by introducing single-atom alloys.
2020NES,2020_11_06_NES_S6,Ellen Matson,connects_methods,False,False,,on_table_idea,Explicitly connects the single-atom discussion to organometallic research.
2020NES,2020_11_06_NES_S6,Ellen Matson,combines_ideas,False,False,,nearest_prior,Suggests combining insights from the two fields.
2020NES,2020_11_06_NES_S6,Sarbajit Banerjee,raises_concern,False,False,,nearest_prior,Expresses mild skepticism about the centers but decides not to pursue it.
2020NES,2020_11_06_NES_S6,Marta Hatzell,synthesizes_contributions,False,False,,on_table_idea,Pulls together multiple threads to identify a core underlying need.
2020NES,2020_11_06_NES_S6,Charles McCrory,extends_existing_idea,True,True,Marta Hatzell,named_speaker,Agrees with and reinforces Marta's proposal for benchmarking.
2020NES,2020_11_06_NES_S6,Marta Hatzell,extends_existing_idea,False,False,,on_table_idea,Re-emphasizes her earlier point about industrial relevance.
2020NES,2020_11_06_NES_S6,Venkat Viswanathan,extends_existing_idea,True,True,Sarbajit Banerjee,named_speaker,Builds on Sarbajit's robotics idea by specifying its role as a data curator.
2020NES,2020_11_06_NES_S6,Charles McCrory,raises_concern,False,False,,nearest_prior,Points out the practical difficulty of defining the parameters for a robotic setup.
2020NES,2020_11_06_NES_S6,Venkat Viswanathan,combines_ideas,True,True,Charles McCrory,named_speaker,Combines the benchmarking/robotics idea with machine learning to solve the variable control problem Charles raised.
2020NES,2020_11_06_NES_S6,Sarbajit Banerjee,extends_existing_idea,True,True,Venkat Viswanathan,named_speaker,Extends Venkat's ML idea by suggesting sequential learning to optimize for cost.
2020NES,2020_11_06_NES_S6,Charles McCrory,raises_concern,False,False,,on_table_idea,Raises a specific technical obstacle to the proposed high-throughput approach.
2020NES,2020_11_06_NES_S6,Charles McCrory,extends_existing_idea,False,False,,nearest_prior,Agrees and builds on the idea of using ML to overcome the measurement bottleneck.
2020NES,2020_11_06_NES_S7,Marcel Schreier,critiques_or_challenges,True,False,,on_table_idea,Marcel challenges the premise of focusing on electrochemical nitrogen reduction by pointing out the efficiency of the existing Haber-Bosch process.
2020NES,2020_11_06_NES_S7,Linsey Seitz,extends_existing_idea,True,True,Marcel Schreier,named_speaker,Linsey signals her intent to build upon Marcel's point about efficiency.
2020NES,2020_11_06_NES_S7,Linsey Seitz,extends_existing_idea,False,False,,on_table_idea,Builds on the previous discussion about Haber-Bosch efficiency by asking if electrochemical routes are still worth investigating.
2020NES,2020_11_06_NES_S7,Andrew Teixeira,extends_existing_idea,False,False,,on_table_idea,Adds a new dimension (localized production) to the ongoing discussion about ammonia production.
2020NES,2020_11_06_NES_S7,Haotian Wang,critiques_or_challenges,False,False,,on_table_idea,Highlights a major issue in the field regarding false positive results in nitrogen reduction experiments.
2020NES,2020_11_06_NES_S7,David Koweek,redirects_idea,False,False,,on_table_idea,Shifts the focus from the mechanics of nitrogen reduction to its broader role in negative emissions and biological production.
2020NES,2020_11_06_NES_S7,Marcel Schreier,returns_to_earlier_idea,True,True,Linsey Seitz,named_speaker,"Returns to the idea of ammonia as an energy carrier, which was brought up earlier by Linsey."
2020NES,2020_11_06_NES_S7,Yuanyue Liu,critiques_or_challenges,False,False,,on_table_idea,Highlights the issue of irreproducibility in high-profile papers on nitrogen reduction.
2020NES,2020_11_06_NES_S7,Jesus Velazquez,extends_existing_idea,False,False,,on_table_idea,Builds on the discussion of labeling studies by suggesting broader benchmarking efforts for the community.
2020NES,2020_11_06_NES_S7,Marcel Schreier,critiques_or_challenges,False,False,,on_table_idea,Raises a significant structural critique regarding the scalability of electrochemical nitrogen reduction.
2020NES,2020_11_06_NES_S7,Andrew Teixeira,critiques_or_challenges,True,True,Marcel Schreier,named_speaker,Challenges Marcel's view by suggesting the transport issue is merely a matter of engineering optimization over time.
2020NES,2020_11_06_NES_S7,Andrew Teixeira,extends_existing_idea,True,True,Oana Luca,named_speaker,Builds on Oana's idea by adding the economic rationale that high-value products bypass the need to compete with Haber-Bosch efficiency.
2020NES,2020_11_06_NES_S7,Xiao Su,combines_ideas,True,True,Oana Luca,named_speaker,Combines Oana's high-value synthesis idea with his own expertise in electro-separations.
2020NES,2020_11_06_NES_S7,Xiao Su,extends_existing_idea,False,False,,on_table_idea,Elaborates on the mechanics of how synthesis and separation could be coupled.
2020NES,2020_11_06_NES_S7,Haotian Wang,synthesizes_contributions,False,False,,on_table_idea,Summarizes the emerging consensus around coupling synthesis and separation.
2020NES,2020_11_06_NES_S7,Linsey Seitz,extends_existing_idea,True,False,,on_table_idea,Linsey builds on the NOx topic by suggesting an electrochemical reduction approach.
2020NES,2020_11_06_NES_S7,Andrew Teixeira,extends_existing_idea,True,False,,on_table_idea,Andrew clarifies his previous idea by drawing an analogy to dry reforming of methane.
2020NES,2020_11_06_NES_S7,Haotian Wang,extends_existing_idea,False,False,,on_table_idea,He extends the idea by suggesting the resulting NOx could be easily reduced to ammonia.
2020NES,2020_11_06_NES_S7,Andrew Teixeira,extends_existing_idea,True,False,,on_table_idea,Andrew extends the idea by applying it as a pre-treatment step for direct air capture.
2020NES,2020_11_06_NES_S7,Andrew Teixeira,raises_concern,False,False,,nearest_prior,He questions the feasibility of his own idea by pointing out it hasn't been done in automotive exhaust systems.
2020NES,2020_11_06_NES_S7,Andrew Teixeira,extends_existing_idea,True,False,,nearest_prior,Andrew pivots to another idea: intentionally coking a catalyst to sequester carbon.
2020NES,2020_11_06_NES_S7,Marcel Schreier,extends_existing_idea,True,False,,nearest_prior,"Marcel builds on the coking idea, framing it as a negative emissions technology."
2020NES,2020_11_06_NES_S7,Xiao Su,raises_concern,False,False,,on_table_idea,He highlights concentration as a major technical hurdle for H2O2 production.
2020NES,2020_11_06_NES_S7,Linsey Seitz,critiques_or_challenges,True,False,,nearest_prior,Linsey challenges the assumption that H2O2 needs to be concentrated.
2020NES,2020_11_06_NES_S7,Linsey Seitz,extends_existing_idea,False,False,,on_table_idea,She extends the idea by suggesting distributed production bypasses the concentration problem.
2020NES,2020_11_06_NES_S7,Marcel Schreier,critiques_or_challenges,False,False,,on_table_idea,Critiques the idea that producing high-value polymers can serve as a meaningful carbon sink.
2020NES,2020_11_06_NES_S7,Linsey Seitz,extends_existing_idea,True,True,Marcel Schreier,named_speaker,Extends Marcel's idea of graphitic carbon to the concept of burying solid carbon or trees.
2020NES,2020_11_06_NES_S7,David Koweek,critiques_or_challenges,False,False,,nearest_prior,Critiques the idea of burying trees by pointing out their lack of permanence compared to coal.
2020NES,2020_11_06_NES_S7,David Koweek,raises_concern,False,False,,nearest_prior,Raises a significant non-technical concern (social license) regarding cutting down trees.
2020NES,2020_11_06_NES_S7,Andrew Teixeira,extends_existing_idea,False,False,,nearest_prior,Extends the biomass discussion by suggesting switchgrass as a more viable alternative to trees.
2020NES,2020_11_06_NES_S7,Andrew Teixeira,raises_concern,False,False,,on_table_idea,Raises a concern about the resource loops required to sustain large-scale biomass production.
2020NES,2020_11_06_NES_S7,David Koweek,synthesizes_contributions,False,False,,on_table_idea,Synthesizes the preceding discussion on biomass into the formal framework of BECCS.
2020NES,2020_11_06_NES_S7,Phil Milner,extends_existing_idea,True,True,Chris Jones,named_speaker,Phil builds on Chris's BECCS idea by suggesting CO2 utilization (polymerization) instead of sequestration.
2020NES,2020_11_06_NES_S7,Chris Jones,extends_existing_idea,True,False,,on_table_idea,Chris continues to explore the implications of distributed BECCS and sequestration.
2020NES,2020_11_06_NES_S8,Ellen Matson,extends_existing_idea,True,True,Charles McCrory,named_speaker,Ellen builds directly on Charles's mention of polymers to discuss microenvironments.
2020NES,2020_11_06_NES_S8,Gary Moore,extends_existing_idea,True,False,,nearest_prior,Gary extends the discussion of environments to 3D morphologies and scaling relationships.
2020NES,2020_11_06_NES_S8,Katie Knowles,extends_existing_idea,True,True,Gary Moore,named_speaker,Katie builds on Gary's point about morphology to suggest integrating capture and conversion.
2020NES,2020_11_06_NES_S8,Jeff Long,raises_concern,True,True,Katie Knowles,named_speaker,He points out a scientific obstacle to Katie's proposed approach.
2020NES,2020_11_06_NES_S8,Ellen Matson,extends_existing_idea,True,True,Will Bowman,named_speaker,Ellen builds on Will's idea by asking a deeper mechanistic question about the defects.
2020NES,2020_11_06_NES_S8,Emily Ryan,extends_existing_idea,True,False,,on_table_idea,Emily extends the discussion from understanding defects to actively engineering them.
2020NES,2020_11_06_NES_S8,Charles McCrory,extends_existing_idea,True,True,Christopher Gorski,on_table_idea,He directly answers Christopher's question by identifying energy conversion efficiency as the key metric.
2020NES,2020_11_06_NES_S8,Gary Moore,raises_concern,True,False,,nearest_prior,Gary raises a concern about the market capacity of non-fuel products to meaningfully impact CO2 levels.
2020NES,2020_11_06_NES_S8,Gary Moore,extends_existing_idea,True,True,Jose Mendoza,on_table_idea,Gary builds on Jose's diagram by introducing the complexities of macro-level device modeling.
2020NES,2020_11_06_NES_S8,Jose Mendoza,extends_existing_idea,True,False,,on_table_idea,Jose extends the discussion to the challenges of modular design and how components interact.
2020NES,2020_11_06_NES_S8,Jose Mendoza,raises_concern,False,False,,on_table_idea,He raises a concern about the non-linear interactions between modules in an integrated system.
2020NES,2020_11_06_NES_S8,Gary Moore,extends_existing_idea,True,True,Jose Mendoza,named_speaker,Gary builds on Jose's diagram by questioning the physical scale of the different modules.
2020NES,2020_11_06_NES_S8,Charles McCrory,extends_existing_idea,True,True,Gary Moore,named_speaker,Charles answers Gary's question by describing the massive scale disparity between the capture and conversion components.
2020NES,2020_11_06_NES_S8,Gary Moore,extends_existing_idea,True,False,,nearest_prior,Gary extends the architectural discussion to the physical arrangement of the components.
2020NES,2020_11_06_NES_S8,Gary Moore,raises_concern,False,False,,nearest_prior,He raises a concern about the efficiency of stacking components due to reduced concentration gradients.
2020NES,2020_11_06_NES_S8,Emily Ryan,synthesizes_contributions,True,True,Jose Mendoza,named_speaker,Emily synthesizes Jose's point about passing information between models with the need for experimental validation.
2020NES,2020_11_06_NES_S8,Emily Ryan,raises_concern,True,False,,nearest_prior,Emily questions whether the models accurately represent real-world behavior.
2020NES,2020_11_06_NES_S8,Jeff Long,synthesizes_contributions,True,False,,nearest_prior,Jeff summarizes the dual focus of the discussion and suggests linking them.
2020NES,2020_11_06_NES_S8,Emily Ryan,extends_existing_idea,True,False,,on_table_idea,Emily builds on the prompt to suggest a multi-scale design approach.
2020NES,2020_11_06_NES_S8,Jeff Long,extends_existing_idea,True,True,Emily Ryan,named_speaker,Jeff connects Emily's design thoughts to the specific challenge of direct air capture.
