video,timestamp,speaker,c1,c1-ep,c2,c2-ep,c3,c3-ep,c4,c4-ep,notes
https://www.dropbox.com/scl/fi/b1h9mgxiymn1pmmab5rln/botB1_2021_04_23_13_14_18_chunk4.mp4?rlkey=62ygh4827cfh4whj1d5fylol6&st=k3fdvyd9&dl=0,08:58-09:37,Elizabeth Bess,expand on existing idea,talks about the occurences of Iron 3 and how human secretes enzymes that contain this substance and its proportion in secretion,,,,,,,
,08:37-08:57,Jae Sung,ask clarifying question,Asks if microbes serete cedarophores in the gut,,,,,,,
,00:08-00:46,Mark Mimee,expand on existing idea,more people looking at metabolome as output for variety of diseases & knowing catalog of bugs to know a synopsis of what's going on,,,,,,,
https://www.dropbox.com/scl/fi/yuspjdzj9359uk87yc8or/4_frontiers_in_echem_Zoom_Meeting_2020_11_06_12_52_00_chunk3.mp4?rlkey=2cg7966bmw0yyn205r4jnhoxy&st=ac4usoq5&dl=0,03:20-03:55,remibouteille,expand on existing idea,"radiative forcing graph has become CO_2 conversation, whether it contains methane or not",,,,,,,
,01:07-01:27,Venkat Viswanathan (CMU),propose decision,you want to be in the middle temperature between methane and CO_2,,,,,,,
,00:23-00:48,Jenny Yang (UC Irvine),ask clarifying question,how do we turn methane into methanol?,,,,,,,
https://www.dropbox.com/scl/fi/ot7xwrfj5p8t0mpus5l8j/4_frontiers_in_echem_Zoom_Meeting_2020_11_06_12_23_32_chunk2.mp4?rlkey=ql4mm0ym9hcmgvf5uic2ivhnw&st=pnurpop1&dl=0,07:03-07:31,Jordi Cabana (UIC),propose decision,"you want complexity, sequential reactions, even at the local scales.",,,,,,,
,02:24-02:51,Jenny Yang (UC Irvine),expand on existing idea,nanostructures can create different electrcial fields,ask clarifying question,unsure if this topic is well understood at this point,,,,,
,01:08-01:41,Shu Hu,explain or define term or concept,explains photocatalysis which is not available in electrochemistry,,,,,,,
https://www.dropbox.com/scl/fi/i2dtnutpi36pyrp0jorch/bot3_Room_3_Zoom_Meeting_2021_04_23_13_13_23_chunk1.mp4?rlkey=ujsf59w2tr5knbkoltfe839rj&st=a7iiq76k&dl=0,06:16-07:21,Courtney Robinson,NA (please provide explanation),self-introduction including her research focus: microbe interactions,,,,,,,
,09:45-10:01,Judith Eisen,expand on existing idea,"diversity/type/perturbed-status of messages going back and forrth in gut, microbiome, and brain",,,,,,,
,05:43-06:15,Dave Durgan,NA (please provide explanation),self-introduction plus interests in development in hypertensions and role in microbiodata,,,,,,,
https://www.dropbox.com/scl/fi/4qctnn283jrstnljya9pg/B2_Zoom_Meeting_Room_2_2021_09_30_12_55_56_chunk1.mp4?rlkey=jpyg293ie39yg93f8kyemy783&st=pzbossyr&dl=0,03:18-03:52,Mark Wilber,ask clarifying question,interested in movement because of contact and the pattern that emerges from such and what do those patterns look like?,,,,,,,
,05:03-05:31,Avery Strait,present new idea,uses her example of Bruce losses which isn't direct transmission but relates to opportunity for contact,,,,,,,
,07:42-08:06,Andrew Feig,ask clarifying question,how do we merge the data stream from environment and make such relevant?,,,,,,,
https://www.dropbox.com/scl/fi/5nee2xfi5vkusx1iislff/MZT_1_2_chunk5.mp4?rlkey=vbwfea4r32lxnkub0svhsqq0d&st=04ljyzrq&dl=0,06:29-07:14,Bethany McGregor USDA ARS,expand on existing idea,can figure out the type of species the noceum fed on by doing blood work ,provide supporting evidence,she's done thousands of them and has gotten good matches.,,,,,
,02:15-03:08,Avery Strait (USDA APHIS Vet Services),expand on existing idea,animals have close contact with humans (thousands on them on the daily) through different means,,,,,,,
,07:34-08:05,Bethany McGregor USDA ARS,explain or define term or concept,answers questions: can get it down to species through sampling (very basic COI barcoding). ,,,,,,,
https://www.dropbox.com/scl/fi/uurcfky1nd9gno8jb9bqb/bot4_2021_06_11_13_02_17_chunk3.mp4?rlkey=oxtmx1mtzroj661nfg9kydr4a&st=lzfdw1of&dl=0,00:57-01:40,Andro Rios,explain or define term or concept,lowering temperature in environment may slow down chemical system can remove side reactions (positive or negative),,,,,,,
,07:29-08:41,Gregory P. Fournier,expand on existing idea,"natural selection is also a problem, and the solution that will win is the only one that is good at replicating, so we need to obtain diversification or we obtain extinction.",,,,,,,
,02:21-02:40,Andro Rios,offer constructive criticism,you don't want bad stuff you want to create a cycle that can feed into itself,,,,,,,
